user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
81,18,Female,Mobile,2.559999943,2,14,9,0,0,0,2.630000114,91.51000214,1
82,42,Male,Mobile,17.62999916,12,8,4,1,1,1,25.21999931,35.59999847,1
83,24,Male,Tablet,20.96999931,12,7,0,0,0,0,21.89999962,60.47000122,1
84,26,Male,Desktop,10.46000004,7,7,0,0,0,0,8.130000114,43.38000107,1
85,41,Female,Desktop,18.79000092,1,0,2,0,1,1,22.12999916,87.69999695,1
86,18,Female,Mobile,2.50999999,18,10,5,0,1,1,2.450000048,42.40999985,1
88,41,Female,Mobile,21.35000038,5,13,0,0,0,0,27.39999962,17.32999992,1
89,28,Male,Desktop,11.67000008,15,14,6,1,1,1,16.76000023,34.91999817,1
90,34,Female,Desktop,20.46999931,10,0,1,0,0,1,13.06000042,66.95999908,1
91,25,Female,Tablet,25.12000084,19,8,7,1,1,0,25.65999985,17.57999992,1
93,52,Male,Mobile,5.989999771,7,0,0,1,0,0,5.599999905,1.059999943,1
94,50,Female,Mobile,15.10000038,18,7,9,1,1,0,17.02000046,36.70000076,1
95,22,Female,Desktop,22.28000069,2,6,1,1,0,0,29.34000015,46.59000015,1
96,59,Male,Desktop,23.45000076,19,1,1,0,1,1,22.82999992,9.609999657,1
98,58,Male,Mobile,7.619999886,15,6,0,0,0,1,5.190000057,10.27999973,1
99,45,Male,Mobile,6.579999924,10,4,2,1,0,0,8.720000267,9,1
100,24,Female,Mobile,18.11000061,10,14,4,1,1,1,23.46999931,36.79000092,1
101,26,Male,Desktop,22.48999977,12,6,6,1,0,1,27.95999908,73.83000183,1
102,25,Female,Mobile,10.26000023,8,9,5,0,1,1,9.170000076,96.37000275,1
104,51,Female,Mobile,21.79000092,2,6,0,1,0,1,13.60000038,46.59999847,1
105,50,Female,Desktop,9.68999958,17,1,6,0,0,1,7.940000057,27.26000023,1
107,41,Male,Desktop,5.28000021,8,14,6,0,1,1,2.869999886,28.37000084,1
108,54,Female,Mobile,10.13000011,1,6,5,1,0,0,6.110000134,27.82999992,1
109,52,Female,Mobile,18.19000053,3,2,8,1,0,0,24.19000053,6.909999847,1
110,57,Female,Mobile,11.39000034,15,3,3,1,0,0,16.76000023,22.04000092,1
113,52,Female,Mobile,9.420000076,14,6,5,1,0,1,13.52000046,28.55999947,1
114,18,Male,Tablet,20.12999916,3,13,9,0,0,1,28.46999931,35.22000122,1
115,52,Female,Mobile,3.859999895,18,1,2,0,1,1,4.460000038,92.73999786,1
119,18,Female,Desktop,5.989999771,3,10,7,0,0,1,8.510000229,61.81999969,1
120,22,Female,Mobile,2.950000048,18,0,7,0,1,0,3.670000076,49.75999832,1
122,31,Female,Mobile,14.43999958,8,11,3,0,0,0,9.239999771,4.460000038,1
123,56,Male,Tablet,25.10000038,19,2,5,0,0,1,15.28999996,3.079999924,1
125,26,Male,Mobile,5.199999809,15,3,1,1,0,0,3.720000029,7.690000057,1
126,32,Female,Mobile,9.890000343,14,4,5,1,0,0,13.13000011,19.46999931,1
127,32,Female,Desktop,23.20999908,16,14,7,1,0,0,33,51.91999817,1
128,43,Female,Mobile,9.869999886,3,2,3,0,0,1,7.059999943,50.31999969,1
129,59,Male,Desktop,12.84000015,15,8,4,1,0,1,12.35999966,34.41999817,1
130,30,Female,Desktop,9.75,19,4,7,0,1,0,9.31000042,66.59999847,1
131,49,Female,Desktop,3.329999924,8,6,2,1,1,1,2.25999999,39.18999863,1
132,56,Female,Tablet,28.23999977,2,14,5,1,1,1,38.22000122,22.02000046,1
133,49,Male,Desktop,16.90999985,17,13,0,0,0,0,17.29000092,69.22000122,1
134,21,Male,Mobile,23.85000038,12,10,3,1,0,0,25.43000031,98.01999664,1
136,54,Female,Mobile,15.90999985,11,6,2,1,1,0,16.85000038,41.40999985,1
139,32,Male,Mobile,5.510000229,14,1,2,0,0,1,3.380000114,65.70999908,1
140,46,Male,Mobile,13.02000046,12,2,7,0,0,1,14.10999966,22.26000023,1
141,53,Female,Tablet,19.23999977,15,3,6,1,1,1,21.85000038,68.34999847,1
142,30,Male,Mobile,23.68000031,8,7,6,0,0,1,16.62000084,76.01999664,1
143,49,Female,Tablet,20.87000084,2,0,7,0,0,0,15.61999989,87.98000336,1
145,39,Male,Desktop,5.320000172,5,4,4,1,1,1,7.559999943,83,1
146,45,Female,Desktop,11.03999996,2,3,9,0,1,0,7.869999886,72.31999969,1
147,19,Male,Mobile,2.24000001,10,12,7,1,0,0,1.139999986,35.29999924,1
148,59,Female,Mobile,21.86000061,10,7,7,0,0,1,29.29999924,10.64000034,1
149,23,Female,Mobile,28.62000084,4,13,7,0,1,1,37.29999924,24.21999931,1
150,45,Male,Mobile,8.659999847,4,8,9,1,1,1,8.279999733,84.45999908,1
151,45,Female,Tablet,3.539999962,8,2,5,1,0,1,4.590000153,53.43999863,1
152,37,Female,Desktop,14.78999996,6,13,1,0,0,1,14.03999996,66.55999756,1
153,47,Female,Mobile,25.84000015,15,3,7,0,0,1,18.71999931,80.61000061,1
154,28,Female,Mobile,17.01000023,18,0,9,1,0,1,15.75,66.69999695,1
156,42,Female,Mobile,29.25,7,11,8,1,1,0,14.89000034,8.640000343,1
157,56,Female,Desktop,25.03000069,17,13,8,1,0,1,15.35000038,90.36000061,1
158,50,Female,Mobile,4.820000172,19,2,5,1,0,0,6.630000114,81.26000214,1
159,18,Male,Mobile,27.72999954,2,9,9,1,1,1,24.75,90.30000305,1
160,44,Male,Mobile,14.06999969,12,4,5,0,1,1,11.69999981,73.08999634,1
161,30,Female,Mobile,11.78999996,19,14,5,0,0,0,16.37000084,27.44000053,1
162,58,Female,Desktop,14.36999989,5,12,3,1,0,1,9.409999847,11.39000034,1
163,20,Male,Mobile,25.20000076,12,7,0,0,0,0,18.06999969,12.96000004,1
164,56,Female,Tablet,20.12000084,17,13,0,0,1,1,26.71999931,49.88999939,1
166,25,Male,Mobile,28.77000046,2,0,4,0,0,0,32.59999847,65.41999817,1
167,44,Male,Mobile,5.289999962,4,2,6,0,0,1,6.559999943,50.33000183,1
168,26,Female,Desktop,22.62000084,6,8,0,0,1,1,16.35000038,12.52999973,1
169,54,Female,Tablet,19.45000076,9,8,0,0,0,1,14.64999962,0.219999999,1
170,50,Female,Desktop,6.440000057,10,0,5,0,0,1,6.539999962,12.82999992,1
171,59,Male,Mobile,5.949999809,11,3,1,1,0,0,7.690000057,14.67000008,1
172,41,Male,Tablet,26.23999977,2,11,1,1,0,0,27.67000008,71.98999786,1
173,32,Male,Mobile,13.17000008,9,7,6,1,1,0,7.46999979,28.53000069,1
174,49,Female,Desktop,19.97999954,17,1,8,1,0,0,17,9.359999657,1
176,41,Male,Mobile,22.09000015,8,6,1,1,1,0,28.87999916,94.05000305,1
179,56,Male,Tablet,11.53999996,6,6,9,1,0,0,9.640000343,95.02999878,1
180,19,Female,Mobile,25.90999985,16,5,3,1,0,1,17.97999954,52.31000137,1
181,20,Female,Tablet,14.56999969,1,1,9,0,1,0,15.14999962,29.57999992,1
182,54,Male,Mobile,7.190000057,9,8,3,1,0,1,6.369999886,13.81000042,1
183,34,Female,Desktop,28.10000038,7,4,3,1,1,1,32.25,82.38999939,1
184,19,Male,Mobile,24.10000038,11,1,8,0,1,0,34.11999893,60.47000122,1
185,19,Female,Mobile,2.609999895,15,5,6,0,1,1,3.75999999,65.12999725,1
186,45,Male,Mobile,29.96999931,5,9,6,1,0,1,21.79999924,86.08999634,1
193,19,Female,Mobile,8.449999809,10,9,3,1,0,0,6.369999886,85.63999939,1
195,49,Female,Mobile,18.34000015,4,1,4,0,1,0,15.06999969,29.13999939,1
197,49,Male,Mobile,4.019999981,1,13,2,1,0,0,4.460000038,39.27999878,1
198,21,Female,Desktop,20.69000053,14,5,0,0,1,1,14.30000019,62.45999908,1
200,34,Male,Mobile,15.52999973,12,11,1,0,0,1,18.72999954,20.04000092,1
201,55,Male,Mobile,11.55000019,19,3,7,0,0,0,6.949999809,24.94000053,1
202,41,Female,Desktop,13.52999973,12,3,3,1,0,0,11.89999962,93.01000214,1
203,22,Male,Mobile,12.26000023,5,11,2,0,0,0,13.63000011,38.50999832,1
204,51,Male,Desktop,28.84000015,4,5,3,0,0,0,41.13000107,31.40999985,1
206,39,Female,Mobile,7.03000021,18,9,0,1,1,0,4.710000038,46.79000092,1
207,28,Female,Mobile,12.14000034,12,5,0,1,1,0,13.47999954,24.68000031,1
208,33,Male,Desktop,16.78000069,16,5,4,1,0,1,10.02999973,40.93000031,1
210,26,Female,Mobile,14.57999992,7,0,8,1,1,0,16,27.95999908,1
211,23,Male,Mobile,24.48999977,9,4,6,1,0,1,14.23999977,41.84999847,1
212,33,Female,Desktop,23.26000023,10,14,4,0,0,0,32.29999924,51.79999924,1
213,46,Male,Tablet,15.64999962,5,0,2,0,0,1,20.79999924,74.16999817,1
214,20,Male,Mobile,25.78000069,4,10,7,1,0,1,25.09000015,38.49000168,1
215,37,Male,Mobile,22.78000069,11,13,6,0,1,1,22.59000015,54.56999969,1
217,36,Male,Mobile,28.73999977,7,9,0,1,0,1,15.81999969,81.83000183,1
218,43,Male,Mobile,8.729999542,13,3,2,0,1,0,5.619999886,23.70000076,1
219,20,Female,Mobile,8.760000229,13,1,7,0,0,0,7.079999924,21.35000038,1
220,36,Female,Desktop,26.78000069,18,8,1,0,1,1,23.14999962,66.26999664,1
222,49,Male,Desktop,27.87000084,13,13,3,1,1,0,18.04000092,54.68999863,1
223,24,Female,Mobile,2.829999924,13,10,6,0,0,1,2.269999981,15.42000008,1
224,58,Male,Mobile,19.20000076,5,12,9,0,0,1,25.5,36.25999832,1
225,50,Female,Desktop,5.190000057,12,9,6,1,1,0,6.670000076,75.94000244,1
227,56,Female,Mobile,5.519999981,18,12,6,1,0,0,4.570000172,16.52000046,1
228,35,Male,Desktop,4.710000038,17,11,3,0,1,0,2.910000086,42.68999863,1
229,57,Female,Desktop,1.350000024,10,1,6,0,1,1,2,44.27000046,1
230,18,Male,Desktop,19.28000069,9,5,4,1,0,0,14.48999977,50.86000061,1
231,28,Female,Tablet,11.40999985,8,9,9,1,1,1,15.34000015,46.11999893,1
232,45,Male,Desktop,4.050000191,15,5,6,1,0,0,5.650000095,50.16999817,1
233,42,Female,Mobile,10.35999966,13,13,2,0,1,0,9.75,81.30999756,1
234,40,Female,Mobile,5.900000095,17,11,9,1,0,1,7.96999979,38.95000076,1
235,48,Female,Desktop,28.30999947,9,11,6,1,0,1,22.04999924,55.20000076,1
236,47,Male,Mobile,10.27999973,11,8,6,0,1,1,14.28999996,60.68000031,1
237,59,Male,Desktop,10.68000031,4,4,1,1,0,0,12.13000011,94.23000336,1
238,52,Male,Desktop,25.36000061,7,10,7,0,0,1,17.61000061,65.47000122,1
241,43,Female,Mobile,19.44000053,3,11,3,1,1,1,20.80999947,66.19000244,1
243,18,Female,Tablet,7,14,12,0,1,0,0,9.06000042,7.53000021,1
244,29,Female,Mobile,29.68000031,13,4,4,0,1,0,38.20999908,1.899999976,1
245,22,Male,Mobile,25.10000038,5,1,9,1,1,1,23.95999908,4.829999924,1
246,54,Female,Mobile,18.07999992,8,0,6,1,0,0,22.42000008,8.970000267,1
247,49,Male,Desktop,20.20999908,12,8,3,0,1,0,21.19000053,95.77999878,1
248,26,Male,Desktop,19.81999969,6,9,6,0,0,0,18.12999916,20.67000008,1
251,36,Male,Mobile,28.87999916,5,14,4,1,1,1,26.42000008,75.27999878,1
252,33,Male,Desktop,16.5,11,11,1,1,0,0,12.19999981,67.58000183,1
253,20,Male,Desktop,11.97000027,13,5,4,0,0,0,8.890000343,42.16999817,1
254,37,Female,Mobile,23.10000038,8,9,7,0,1,0,17.13999939,3.119999886,1
255,41,Male,Mobile,16.20999908,5,3,3,0,0,0,8.149999619,82.65000153,1
256,50,Female,Tablet,1.379999995,6,13,1,1,0,1,1.289999962,86.08000183,1
257,41,Female,Desktop,22.35000038,15,8,7,1,0,1,31.07999992,48.18000031,1
258,28,Male,Desktop,22.22999954,16,14,3,0,1,1,11.67000008,64.48999786,1
259,25,Female,Desktop,5.789999962,11,1,4,0,0,1,8.430000305,47.77000046,1
260,53,Female,Mobile,28.73999977,7,13,6,1,1,1,19.52000046,29.62000084,1
262,57,Male,Mobile,14.27000046,12,11,9,0,1,0,18.34000015,68.86000061,1
263,37,Male,Mobile,4.329999924,4,14,3,0,0,0,5.349999905,15.46000004,1
265,42,Male,Mobile,11.89000034,11,3,3,1,0,1,14.31000042,77.59999847,1
266,52,Female,Desktop,11.23999977,12,0,9,0,1,0,10.93999958,47.56000137,1
267,42,Female,Mobile,24.97999954,2,6,3,1,1,0,16.29000092,15.68999958,1
268,46,Female,Mobile,1.279999971,11,13,1,1,1,0,0.899999976,86.97000122,1
269,35,Female,Mobile,24.13999939,13,3,4,1,0,1,12.69999981,67.38999939,1
270,35,Female,Mobile,17.56999969,11,4,7,0,1,1,14.61999989,63.25,1
271,19,Male,Mobile,29.60000038,9,14,3,1,0,0,36.34999847,65.16999817,1
272,52,Male,Mobile,18.09000015,16,11,1,0,0,0,26.57999992,24.51000023,1
274,58,Female,Mobile,2.470000029,12,1,5,1,1,1,2.109999895,32.59999847,1
277,21,Female,Desktop,11.02999973,19,1,4,1,0,1,15.65999985,71.73000336,1
280,38,Male,Desktop,29.04999924,19,12,4,0,0,0,22.40999985,80.48999786,1
281,37,Female,Mobile,28.54999924,18,0,8,1,0,1,20.63999939,61.54000092,1
283,24,Male,Tablet,26.12999916,13,0,9,1,0,0,15.17000008,29.06999969,1
285,34,Female,Desktop,7.300000191,3,1,0,0,1,1,6.909999847,94.12000275,0
287,29,Male,Mobile,21.55999947,9,4,1,1,0,0,14.76000023,38.54999924,1
288,39,Female,Mobile,28.92000008,9,2,9,0,0,0,20.75,62.5,1
290,47,Female,Mobile,3.470000029,1,6,0,1,1,1,4.53000021,84.16999817,1
291,55,Female,Desktop,18.31999969,18,9,9,0,0,0,11.67000008,83.30000305,1
292,55,Male,Mobile,20.90999985,15,5,2,0,0,0,11.98999977,45.61999893,1
293,25,Male,Desktop,7.389999866,8,1,5,1,0,1,3.970000029,80.45999908,1
294,44,Female,Desktop,12.43000031,11,8,0,0,1,1,6.710000038,19.29999924,1
295,44,Female,Mobile,18.36000061,17,1,0,1,0,0,19.21999931,37.38999939,1
298,47,Male,Desktop,4.860000134,5,8,1,0,0,0,6.480000019,97.51999664,1
299,50,Male,Mobile,28.28000069,2,1,5,1,0,1,41.52000046,57.68000031,1
300,45,Female,Mobile,22.76000023,15,8,2,0,1,1,30.96999931,76.65000153,1
301,50,Male,Desktop,1.039999962,19,7,5,1,0,1,1.519999981,40.15999985,1
302,22,Male,Mobile,23.20000076,16,13,6,1,0,1,27.14999962,56.15999985,1
303,36,Male,Tablet,22.45000076,13,6,6,1,0,0,33.38999939,34.74000168,1
307,45,Female,Mobile,14.13000011,7,9,7,1,0,1,17.09000015,89.86000061,1
308,47,Female,Mobile,23.55999947,12,7,4,0,0,0,34.31999969,86.43000031,1
309,46,Male,Desktop,13.34000015,13,0,0,1,1,1,10.05000019,83.5,1
310,23,Male,Desktop,5.460000038,13,8,8,0,0,1,4.369999886,82.15000153,1
311,52,Female,Desktop,29.31999969,14,5,0,1,1,1,26.30999947,72.94999695,1
312,58,Female,Tablet,8.020000458,15,0,1,1,0,0,7.739999771,87.48000336,1
313,54,Male,Mobile,21.80999947,2,0,6,0,1,1,30.47999954,21.02000046,1
314,41,Female,Desktop,5.150000095,6,12,2,0,1,0,7.150000095,87.04000092,1
315,46,Female,Mobile,10.53999996,9,6,5,0,0,0,12.19999981,91.77999878,1
316,48,Male,Desktop,13.81999969,15,9,7,1,1,1,10.11999989,71.59999847,1
317,52,Female,Mobile,6.570000172,16,1,4,1,0,1,4.860000134,59.93999863,1
319,38,Male,Desktop,5.559999943,3,12,9,1,0,0,5.579999924,86.62000275,1
320,49,Female,Tablet,17.20999908,8,4,2,1,1,0,13.05000019,57.68000031,1
321,40,Male,Desktop,20.25,8,4,1,1,1,0,13.52999973,61.06999969,1
322,50,Male,Tablet,2.809999943,7,9,5,0,1,0,3.440000057,60.65999985,1
323,20,Male,Desktop,26.26000023,11,14,4,0,1,0,34.49000168,86.68000031,1
324,35,Female,Mobile,6.369999886,13,11,6,1,0,0,4.849999905,13.69999981,1
326,59,Female,Mobile,20.18000031,9,13,5,1,1,0,24.48999977,22.39999962,1
327,48,Male,Mobile,14.59000015,16,10,4,0,1,1,14.14000034,49.18000031,1
328,20,Male,Mobile,15.47999954,5,7,5,0,1,0,22.62000084,46.93999863,1
329,57,Female,Mobile,4.71999979,14,4,4,0,1,0,2.970000029,51.20000076,1
330,41,Female,Mobile,24.37000084,1,7,6,0,0,0,33.00999832,11.43000031,1
331,49,Male,Tablet,18.88999939,19,4,4,0,0,0,15.22999954,79.29000092,1
333,40,Female,Mobile,11.85000038,14,14,0,1,1,0,8.930000305,91.31999969,1
334,19,Female,Mobile,24.5,13,5,8,0,0,1,35.93000031,84,1
335,44,Female,Mobile,17.47999954,8,7,5,0,0,1,9.619999886,6.349999905,1
336,59,Female,Mobile,4.150000095,3,1,8,0,1,1,4.210000038,5.360000134,1
337,19,Male,Desktop,11.81000042,1,6,0,0,0,1,16.65999985,62.90000153,1
338,43,Female,Mobile,8.039999962,19,2,1,1,1,0,7.800000191,7.730000019,1
339,34,Female,Mobile,16.01000023,15,8,6,1,0,1,21.45999908,57.18000031,1
340,57,Male,Desktop,25.45999908,8,9,3,1,0,0,36.90999985,7.920000076,1
342,26,Male,Mobile,13.56999969,13,14,0,0,0,0,13.42000008,41.90999985,1
343,56,Male,Desktop,27.26000023,12,2,4,0,1,1,32.34000015,59.09000015,1
345,59,Female,Mobile,17.42000008,11,7,5,1,1,0,11.55000019,14,1
346,43,Female,Mobile,8.600000381,5,9,6,1,1,1,9.170000076,84.20999908,1
347,52,Female,Mobile,18.62000084,19,1,2,1,0,1,12.34000015,29.93000031,1
350,30,Female,Desktop,29.72999954,11,7,9,0,1,1,22.86000061,87.76999664,1
351,24,Female,Desktop,26.56999969,6,6,3,1,1,0,33.74000168,28.06999969,1
353,37,Female,Mobile,16.57999992,9,4,8,1,1,1,13.97999954,40.25999832,1
354,18,Male,Desktop,14.39999962,7,3,6,0,1,1,14.42000008,4.840000153,1
355,25,Female,Mobile,6.360000134,6,10,1,1,0,0,7.590000153,86.83000183,1
358,29,Male,Mobile,14.15999985,1,13,7,0,1,0,12.60999966,13.22000027,1
359,40,Male,Mobile,26.59000015,15,9,7,0,1,1,27.55999947,1.059999943,1
360,32,Female,Mobile,5.289999962,5,0,0,1,0,1,3.220000029,98.56999969,0
361,45,Female,Mobile,15.73999977,6,12,7,1,0,0,22.79999924,41.61999893,1
362,51,Female,Mobile,19.76000023,5,3,9,1,0,0,23.73999977,93.04000092,1
363,19,Female,Desktop,15.98999977,17,5,6,1,1,1,14,42.00999832,1
366,39,Male,Mobile,4.360000134,2,1,4,0,1,0,4.170000076,41.81999969,1
368,39,Male,Mobile,4.78000021,5,12,2,1,1,1,6.940000057,5.349999905,1
370,59,Male,Mobile,11.81000042,14,0,7,1,1,0,13.59000015,53.93000031,1
371,23,Male,Desktop,22.27000046,4,3,8,1,0,1,28.64999962,25.53000069,1
372,32,Female,Mobile,12.76000023,8,3,4,0,1,0,12.89000034,95.87000275,1
374,50,Male,Mobile,23.32999992,14,7,0,1,1,1,32.43000031,13.02999973,1
375,25,Female,Mobile,16.89999962,18,10,8,1,0,1,15.25,41.34999847,1
376,22,Female,Mobile,16.64999962,12,1,0,0,1,0,24.71999931,70.76999664,1
377,56,Female,Desktop,3.559999943,15,1,8,1,0,0,3.230000019,48.70999908,1
378,21,Male,Mobile,12.90999985,9,14,2,1,0,1,15.07999992,33.11999893,1
380,49,Male,Mobile,14.39999962,1,14,3,0,0,0,10.55000019,45.95999908,1
381,47,Male,Mobile,27.12000084,15,0,4,1,1,0,38.79999924,9.739999771,1
382,52,Female,Mobile,27.29000092,15,12,5,1,0,1,30.76000023,37.09000015,1
383,57,Male,Desktop,24.84000015,8,4,5,1,1,1,23.61000061,11.61999989,1
386,59,Female,Mobile,12.46000004,4,1,0,0,0,1,17.37999916,24.35000038,1
387,47,Female,Desktop,7.75,18,0,8,1,0,1,7.150000095,7.46999979,1
391,45,Male,Desktop,14.35999966,8,8,8,1,0,0,14.85000038,40.29000092,1
392,43,Male,Mobile,28.70999908,18,14,1,0,0,1,37.77999878,36.59000015,1
393,54,Female,Mobile,10.09000015,17,1,1,0,0,1,8.710000038,90.83000183,1
394,43,Female,Desktop,27.17000008,19,2,6,1,0,0,25.37999916,44.97000122,1
395,40,Male,Mobile,7.639999866,6,8,8,0,0,1,7.440000057,44.72000122,1
396,26,Male,Mobile,6.539999962,14,4,4,0,0,0,3.380000114,41,1
398,18,Male,Mobile,20.5,8,12,7,1,0,1,20.52000046,72.84999847,1
399,18,Male,Desktop,2.289999962,8,7,7,0,0,0,1.779999971,28.18000031,1
400,51,Female,Desktop,7.409999847,18,6,3,0,1,0,7.579999924,37.88000107,1
401,49,Female,Tablet,14.21000004,9,14,9,1,1,0,8.640000343,28.22999954,1
402,42,Female,Mobile,10.60000038,14,13,6,1,1,1,13.81000042,57.02999878,1
404,18,Male,Mobile,15.81999969,14,12,3,0,1,0,18.51000023,39.02999878,1
407,22,Male,Mobile,9.489999771,14,12,6,1,1,0,11.22000027,79.54000092,1
408,39,Female,Mobile,22.20000076,12,3,5,1,1,1,28.45999908,33.29999924,1
409,46,Female,Mobile,23.62000084,16,8,3,1,1,0,30.90999985,22.44000053,1
411,29,Female,Desktop,15.46000004,18,2,5,0,0,1,10.72999954,99.08000183,1
414,54,Male,Mobile,20.67000008,13,7,2,1,1,1,19.07999992,45.00999832,1
415,39,Female,Tablet,14.43999958,8,7,3,1,0,1,11.17000008,87.94999695,1
416,46,Female,Desktop,13.68999958,12,12,1,0,0,1,17.65999985,69.69999695,1
417,31,Female,Mobile,25.80999947,1,7,8,1,1,0,30.31999969,67.48999786,1
419,22,Male,Mobile,26.57999992,8,14,9,0,1,1,17.12999916,95.76999664,1
420,47,Female,Mobile,25.70999908,9,5,2,1,1,1,26.79000092,25.04000092,1
422,29,Female,Mobile,15.22000027,13,14,7,1,0,1,19.30999947,33.95999908,1
423,33,Male,Desktop,11.48999977,14,9,0,1,1,0,16.87000084,18.07999992,1
